# Lam=   3.000000e+02  A=  -1.544435e-01  mb=   1.380000e+02 C0=  -9.827953e-02 
# p [fm-1]       w             wf [fm3/2]
   1.028758e-03     2.641289e-03     1.381789e+01
   5.430679e-03     6.171602e-03     1.381021e+01
   1.339192e-02     9.763085e-03     1.376992e+01
   2.498665e-02     1.344409e-02     1.365157e+01
   4.032131e-02     1.724882e-02     1.339221e+01
   5.953770e-02     2.121387e-02     1.292066e+01
   8.281556e-02     2.537857e-02     1.217693e+01
   1.103756e-01     2.978566e-02     1.113907e+01
   1.424833e-01     3.448206e-02     9.844916e+00
   1.794534e-01     3.951966e-02     8.391432e+00
   2.216555e-01     4.495631e-02     6.906268e+00
   2.695205e-01     5.085679e-02     5.507406e+00
   3.235479e-01     5.729403e-02     4.274558e+00
   3.843148e-01     6.435029e-02     3.242772e+00
   4.524857e-01     7.211852e-02     2.412196e+00
   5.288240e-01     8.070371e-02     1.762698e+00
   6.142047e-01     9.022424e-02     1.265957e+00
   7.096284e-01     1.008130e-01     8.929191e-01
   8.162359e-01     1.126180e-01     6.174090e-01
   9.353242e-01     1.258027e-01     4.173452e-01
   1.068360e+00     1.405442e-01     2.747565e-01
   1.216994e+00     1.570295e-01     1.753149e-01
   1.383064e+00     1.754490e-01     1.077496e-01
   1.568597e+00     1.959830e-01     6.328873e-02
   1.775786e+00     2.187815e-01     3.517766e-02
   2.006945e+00     2.439312e-01     1.827887e-02
   2.264425e+00     2.714059e-01     8.750650e-03
   2.550465e+00     3.009948e-01     3.795935e-03
   2.866959e+00     3.322020e-01     1.466270e-03
   3.215110e+00     3.641141e-01     4.965672e-04
   3.594933e+00     3.952382e-01     1.461387e-04
   4.004585e+00     4.233280e-01     3.754762e-05
   4.439540e+00     4.452405e-01     8.630140e-06
   4.891658e+00     4.569019e-01     1.854620e-06
   5.348327e+00     4.535043e-01     3.938106e-07
   5.791978e+00     4.300682e-01     8.767466e-08
   6.200380e+00     3.824549e-01     2.190786e-08
   6.548147e+00     3.087405e-01     6.674346e-09
   6.809664e+00     2.105862e-01     2.713878e-09
   6.963154e+00     9.411570e-02     1.596191e-09
   7.096200e+00     2.465961e-01     1.006041e-09
   7.504393e+00     5.684200e-01     2.420669e-10
   8.228718e+00     8.774087e-01     1.883797e-11
   9.252362e+00     1.165874e+00     4.915700e-13
   1.055135e+01     1.427022e+00     4.559781e-15
   1.209525e+01     1.654723e+00     1.603042e-17
   1.384786e+01     1.843641e+00     2.369918e-20
   1.576811e+01     1.989346e+00     1.668868e-23
   1.781100e+01     2.088422e+00     6.405069e-27
   1.992863e+01     2.138547e+00     1.561694e-30
   2.207137e+01     2.138547e+00     2.862211e-34
   2.418900e+01     2.088422e+00     4.753742e-38
   2.623189e+01     1.989346e+00     8.719423e-42
   2.815214e+01     1.843641e+00     2.186630e-45
   2.990475e+01     1.654723e+00     9.558758e-49
   3.144865e+01     1.427022e+00     9.315224e-52
   3.274764e+01     1.165874e+00     2.414906e-54
   3.377128e+01     8.774087e-01     2.071718e-56
   3.449561e+01     5.684200e-01     6.887491e-58
   3.490380e+01     2.465961e-01     1.002217e-58
