# Lam=   7.000000e+02  A=  -1.544435e-01  mb=   1.380000e+02 C0=   2.016719e-02 
# p [fm-1]       w             wf [fm3/2]
   1.028758e-03     2.641289e-03    -1.363098e+01
   5.430679e-03     6.171602e-03    -1.362343e+01
   1.339192e-02     9.763085e-03    -1.358378e+01
   2.498665e-02     1.344409e-02    -1.346734e+01
   4.032131e-02     1.724882e-02    -1.321214e+01
   5.953770e-02     2.121387e-02    -1.274817e+01
   8.281556e-02     2.537857e-02    -1.201640e+01
   1.103756e-01     2.978566e-02    -1.099521e+01
   1.424833e-01     3.448206e-02    -9.721819e+00
   1.794534e-01     3.951966e-02    -8.291631e+00
   2.216555e-01     4.495631e-02    -6.830214e+00
   2.695205e-01     5.085679e-02    -5.453634e+00
   3.235479e-01     5.729403e-02    -4.240297e+00
   3.843148e-01     6.435029e-02    -3.224661e+00
   4.524857e-01     7.211852e-02    -2.406842e+00
   5.288240e-01     8.070371e-02    -1.767002e+00
   6.142047e-01     9.022424e-02    -1.277238e+00
   7.096284e-01     1.008130e-01    -9.089293e-01
   8.162359e-01     1.126180e-01    -6.362844e-01
   9.353242e-01     1.258027e-01    -4.375466e-01
   1.068360e+00     1.405442e-01    -2.950152e-01
   1.216994e+00     1.570295e-01    -1.945961e-01
   1.383064e+00     1.754490e-01    -1.252351e-01
   1.568597e+00     1.959830e-01    -7.838017e-02
   1.775786e+00     2.187815e-01    -4.751242e-02
   2.006945e+00     2.439312e-01    -2.774812e-02
   2.264425e+00     2.714059e-01    -1.550130e-02
   2.550465e+00     3.009948e-01    -8.198646e-03
   2.866959e+00     3.322020e-01    -4.040569e-03
   3.215110e+00     3.641141e-01    -1.804807e-03
   3.594933e+00     3.952382e-01    -6.887031e-04
   4.004585e+00     4.233280e-01    -1.860479e-04
   4.439540e+00     4.452405e-01     6.556155e-06
   4.891658e+00     4.569019e-01     5.917585e-05
   5.348327e+00     4.535043e-01     5.884433e-05
   5.791978e+00     4.300682e-01     4.471945e-05
   6.200380e+00     3.824549e-01     3.122231e-05
   6.548147e+00     3.087405e-01     2.184605e-05
   6.809664e+00     2.105862e-01     1.631076e-05
   6.963154e+00     9.411570e-02     1.362962e-05
   7.096200e+00     2.465961e-01     1.161363e-05
   7.504393e+00     5.684200e-01     6.944348e-06
   8.228718e+00     8.774087e-01     2.588648e-06
   9.252362e+00     1.165874e+00     5.627549e-07
   1.055135e+01     1.427022e+00     6.952592e-08
   1.209525e+01     1.654723e+00     5.451813e-09
   1.384786e+01     1.843641e+00     3.519933e-10
   1.576811e+01     1.989346e+00     1.956084e-11
   1.781100e+01     2.088422e+00     8.207031e-13
   1.992863e+01     2.138547e+00     2.721741e-14
   2.207137e+01     2.138547e+00     8.387905e-16
   2.418900e+01     2.088422e+00     2.713377e-17
   2.623189e+01     1.989346e+00     9.722130e-19
   2.815214e+01     1.843641e+00     4.098678e-20
   2.990475e+01     1.654723e+00     2.215958e-21
   3.144865e+01     1.427022e+00     1.672483e-22
   3.274764e+01     1.165874e+00     1.888061e-23
   3.377128e+01     8.774087e-01     3.367573e-24
   3.449561e+01     5.684200e-01     9.911771e-25
   3.490380e+01     2.465961e-01     4.968502e-25
