# Lam=   4.000000e+02  A=  -1.544435e-01  mb=   1.380000e+02 C0=  -2.820315e-02 
# p [fm-1]       w             wf [fm3/2]
   1.028758e-03     2.641289e-03    -1.365061e+01
   5.430679e-03     6.171602e-03    -1.364305e+01
   1.339192e-02     9.763085e-03    -1.360333e+01
   2.498665e-02     1.344409e-02    -1.348669e+01
   4.032131e-02     1.724882e-02    -1.323106e+01
   5.953770e-02     2.121387e-02    -1.276631e+01
   8.281556e-02     2.537857e-02    -1.203330e+01
   1.103756e-01     2.978566e-02    -1.101039e+01
   1.424833e-01     3.448206e-02    -9.734849e+00
   1.794534e-01     3.951966e-02    -8.302249e+00
   2.216555e-01     4.495631e-02    -6.838372e+00
   2.695205e-01     5.085679e-02    -5.459481e+00
   3.235479e-01     5.729403e-02    -4.244115e+00
   3.843148e-01     6.435029e-02    -3.226794e+00
   4.524857e-01     7.211852e-02    -2.407636e+00
   5.288240e-01     8.070371e-02    -1.766772e+00
   6.142047e-01     9.022424e-02    -1.276255e+00
   7.096284e-01     1.008130e-01    -9.074184e-01
   8.162359e-01     1.126180e-01    -6.344314e-01
   9.353242e-01     1.258027e-01    -4.355043e-01
   1.068360e+00     1.405442e-01    -2.929099e-01
   1.216994e+00     1.570295e-01    -1.925332e-01
   1.383064e+00     1.754490e-01    -1.233025e-01
   1.568597e+00     1.959830e-01    -7.664960e-02
   1.775786e+00     2.187815e-01    -4.603906e-02
   2.006945e+00     2.439312e-01    -2.656811e-02
   2.264425e+00     2.714059e-01    -1.462834e-02
   2.550465e+00     3.009948e-01    -7.621085e-03
   2.866959e+00     3.322020e-01    -3.721328e-03
   3.215110e+00     3.641141e-01    -1.686188e-03
   3.594933e+00     3.952382e-01    -7.027248e-04
   4.004585e+00     4.233280e-01    -2.680188e-04
   4.439540e+00     4.452405e-01    -9.383544e-05
   4.891658e+00     4.569019e-01    -3.064848e-05
   5.348327e+00     4.535043e-01    -9.658528e-06
   5.791978e+00     4.300682e-01    -3.093989e-06
   6.200380e+00     3.824549e-01    -1.076529e-06
   6.548147e+00     3.087405e-01    -4.372731e-07
   6.809664e+00     2.105862e-01    -2.221135e-07
   6.963154e+00     9.411570e-02    -1.492851e-07
   7.096200e+00     2.465961e-01    -1.058056e-07
   7.504393e+00     5.684200e-01    -3.681561e-08
   8.228718e+00     8.774087e-01    -5.637896e-09
   9.252362e+00     1.165874e+00    -3.873175e-10
   1.055135e+01     1.427022e+00    -1.219618e-11
   1.209525e+01     1.654723e+00    -1.876826e-13
   1.384786e+01     1.843641e+00    -1.550371e-15
   1.576811e+01     1.989346e+00    -7.503502e-18
   1.781100e+01     2.088422e+00    -2.379293e-20
   1.992863e+01     2.138547e+00    -5.638844e-23
   2.207137e+01     2.138547e+00    -1.139827e-25
   2.418900e+01     2.088422e+00    -2.263409e-28
   2.623189e+01     1.989346e+00    -5.113739e-31
   2.815214e+01     1.843641e+00    -1.527345e-33
   2.990475e+01     1.654723e+00    -7.011293e-36
   3.144865e+01     1.427022e+00    -5.727468e-38
   3.274764e+01     1.165874e+00    -9.563917e-40
   3.377128e+01     8.774087e-01    -3.681495e-41
   3.449561e+01     5.684200e-01    -3.610816e-42
   3.490380e+01     2.465961e-01    -9.693473e-43
