# Lam=   6.000000e+02  A=  -1.544435e-01  mb=   1.380000e+02 C0=   1.285743e-02 
# p [fm-1]       w             wf [fm3/2]
   1.028758e-03     2.641289e-03    -1.362258e+01
   5.430679e-03     6.171602e-03    -1.361504e+01
   1.339192e-02     9.763085e-03    -1.357542e+01
   2.498665e-02     1.344409e-02    -1.345905e+01
   4.032131e-02     1.724882e-02    -1.320404e+01
   5.953770e-02     2.121387e-02    -1.274040e+01
   8.281556e-02     2.537857e-02    -1.200914e+01
   1.103756e-01     2.978566e-02    -1.098866e+01
   1.424833e-01     3.448206e-02    -9.716169e+00
   1.794534e-01     3.951966e-02    -8.286985e+00
   2.216555e-01     4.495631e-02    -6.826596e+00
   2.695205e-01     5.085679e-02    -5.450982e+00
   3.235479e-01     5.729403e-02    -4.238495e+00
   3.843148e-01     6.435029e-02    -3.223569e+00
   4.524857e-01     7.211852e-02    -2.406320e+00
   5.288240e-01     8.070371e-02    -1.766922e+00
   6.142047e-01     9.022424e-02    -1.277493e+00
   7.096284e-01     1.008130e-01    -9.094297e-01
   8.162359e-01     1.126180e-01    -6.369597e-01
   9.353242e-01     1.258027e-01    -4.383403e-01
   1.068360e+00     1.405442e-01    -2.958824e-01
   1.216994e+00     1.570295e-01    -1.955007e-01
   1.383064e+00     1.754490e-01    -1.261478e-01
   1.568597e+00     1.959830e-01    -7.927631e-02
   1.775786e+00     2.187815e-01    -4.837118e-02
   2.006945e+00     2.439312e-01    -2.855145e-02
   2.264425e+00     2.714059e-01    -1.623370e-02
   2.550465e+00     3.009948e-01    -8.847403e-03
   2.866959e+00     3.322020e-01    -4.596504e-03
   3.215110e+00     3.641141e-01    -2.263312e-03
   3.594933e+00     3.952382e-01    -1.050702e-03
   4.004585e+00     4.233280e-01    -4.583813e-04
   4.439540e+00     4.452405e-01    -1.881934e-04
   4.891658e+00     4.569019e-01    -7.345793e-05
   5.348327e+00     4.535043e-01    -2.793335e-05
   5.791978e+00     4.300682e-01    -1.080768e-05
   6.200380e+00     3.824549e-01    -4.525190e-06
   6.548147e+00     3.087405e-01    -2.192793e-06
   6.809664e+00     2.105862e-01    -1.296343e-06
   6.963154e+00     9.411570e-02    -9.619967e-07
   7.096200e+00     2.465961e-01    -7.479948e-07
   7.504393e+00     5.684200e-01    -3.607120e-07
   8.228718e+00     8.774087e-01    -1.131038e-07
   9.252362e+00     1.165874e+00    -2.420865e-08
   1.055135e+01     1.427022e+00    -2.977241e-09
   1.209525e+01     1.654723e+00    -1.884140e-10
   1.384786e+01     1.843641e+00    -7.089648e-12
   1.576811e+01     1.989346e+00    -2.088672e-13
   1.781100e+01     2.088422e+00    -5.092878e-15
   1.992863e+01     2.138547e+00    -9.873341e-17
   2.207137e+01     2.138547e+00    -1.693492e-18
   2.418900e+01     2.088422e+00    -2.991894e-20
   2.623189e+01     1.989346e+00    -5.959604e-22
   2.815214e+01     1.843641e+00    -1.444914e-23
   2.990475e+01     1.654723e+00    -4.697599e-25
   3.144865e+01     1.427022e+00    -2.253014e-26
   3.274764e+01     1.165874e+00    -1.727004e-27
   3.377128e+01     8.774087e-01    -2.260783e-28
   3.449561e+01     5.684200e-01    -5.333795e-29
   3.490380e+01     2.465961e-01    -2.358446e-29
